P18YM_PB,PSINDER,VPH_NDACMM,VPH_SINCINT
1478.0,723.0,516.0,203.0
65.0,14.0,21.0,6.0
55.0,35.0,22.0,12.0
84.0,66.0,23.0,8.0
143.0,90.0,67.0,27.0
63.0,24.0,22.0,10.0
52.0,21.0,19.0,6.0
89.0,49.0,33.0,14.0
25.0,10.0,17.0,11.0
21.0,3.0,8.0,4.0
208.0,57.0,52.0,20.0
55.0,23.0,19.0,10.0
42.0,18.0,29.0,15.0
156.0,93.0,50.0,18.0
29.0,8.0,10.0,3.0
10.0,10.0,3.0,4.0
35.0,29.0,14.0,5.0
64.0,29.0,22.0,8.0
90.0,43.0,32.0,7.0
80.0,30.0,25.0,10.0
1307.0,423.0,357.0,119.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
51.0,15.0,11.0,7.0
59.0,15.0,10.0,5.0
27.0,3.0,4.0,0.0
110.0,53.0,41.0,10.0
140.0,40.0,35.0,7.0
118.0,52.0,44.0,10.0
27.0,6.0,0.0,0.0
97.0,41.0,45.0,18.0
24.0,3.0,7.0,0.0
26.0,7.0,6.0,3.0
56.0,17.0,7.0,3.0
96.0,40.0,39.0,12.0
56.0,13.0,9.0,10.0
109.0,37.0,44.0,17.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
6360.0,2236.0,1512.0,470.0
0.0,0.0,0.0,0.0
58.0,46.0,27.0,6.0
75.0,33.0,13.0,7.0
82.0,44.0,11.0,3.0
83.0,30.0,24.0,5.0
94.0,57.0,20.0,5.0
7.0,0.0,3.0,0.0
200.0,79.0,81.0,23.0
240.0,64.0,47.0,16.0
149.0,66.0,32.0,4.0
156.0,79.0,52.0,16.0
322.0,110.0,105.0,41.0
221.0,77.0,47.0,11.0
63.0,20.0,22.0,6.0
82.0,29.0,17.0,7.0
33.0,19.0,13.0,6.0
51.0,19.0,6.0,3.0
51.0,14.0,7.0,5.0
0.0,0.0,0.0,0.0
2283.0,703.0,511.0,139.0
531.0,267.0,191.0,76.0
393.0,134.0,101.0,44.0
0.0,0.0,0.0,0.0
101.0,44.0,26.0,9.0
92.0,40.0,23.0,8.0
0.0,0.0,0.0,0.0
57.0,22.0,7.0,4.0
181.0,54.0,15.0,4.0
32.0,7.0,8.0,0.0
30.0,5.0,4.0,0.0
4565.0,2011.0,1618.0,600.0
69.0,19.0,16.0,14.0
123.0,72.0,50.0,19.0
155.0,68.0,59.0,25.0
131.0,55.0,40.0,13.0
61.0,36.0,19.0,10.0
44.0,14.0,15.0,9.0
254.0,75.0,94.0,16.0
633.0,321.0,268.0,96.0
82.0,20.0,28.0,15.0
74.0,21.0,20.0,7.0
67.0,25.0,26.0,12.0
119.0,68.0,71.0,28.0
149.0,58.0,61.0,15.0
53.0,24.0,15.0,10.0
74.0,27.0,26.0,10.0
61.0,20.0,13.0,5.0
253.0,113.0,76.0,37.0
50.0,42.0,20.0,8.0
62.0,19.0,18.0,4.0
80.0,44.0,29.0,13.0
214.0,104.0,49.0,22.0
73.0,30.0,35.0,20.0
73.0,55.0,19.0,5.0
64.0,14.0,13.0,7.0
67.0,35.0,30.0,10.0
24.0,29.0,15.0,10.0
45.0,32.0,40.0,17.0
305.0,85.0,33.0,9.0
915.0,341.0,322.0,96.0
0.0,0.0,0.0,0.0
138.0,73.0,63.0,23.0
9.0,15.0,6.0,3.0
14.0,19.0,9.0,3.0
0.0,0.0,0.0,0.0
15.0,25.0,15.0,8.0
2453.0,1273.0,865.0,326.0
94.0,38.0,39.0,14.0
104.0,82.0,41.0,6.0
79.0,23.0,15.0,9.0
101.0,55.0,27.0,5.0
140.0,64.0,39.0,13.0
74.0,58.0,30.0,13.0
67.0,33.0,16.0,5.0
135.0,69.0,47.0,9.0
371.0,181.0,115.0,38.0
71.0,27.0,13.0,9.0
379.0,258.0,173.0,82.0
35.0,18.0,20.0,11.0
114.0,52.0,28.0,16.0
120.0,33.0,43.0,18.0
89.0,40.0,34.0,17.0
96.0,34.0,32.0,11.0
0.0,0.0,0.0,0.0
236.0,123.0,94.0,38.0
24.0,10.0,13.0,5.0
30.0,18.0,10.0,3.0
2210.0,942.0,709.0,209.0
39.0,29.0,14.0,3.0
139.0,81.0,51.0,16.0
94.0,44.0,26.0,7.0
125.0,65.0,29.0,6.0
94.0,27.0,35.0,8.0
27.0,15.0,14.0,4.0
74.0,27.0,25.0,9.0
100.0,53.0,35.0,11.0
83.0,28.0,20.0,6.0
79.0,37.0,23.0,4.0
84.0,62.0,23.0,8.0
69.0,42.0,16.0,4.0
144.0,66.0,65.0,29.0
90.0,51.0,21.0,7.0
52.0,17.0,13.0,3.0
106.0,24.0,28.0,9.0
57.0,40.0,21.0,5.0
101.0,12.0,31.0,13.0
133.0,31.0,49.0,18.0
159.0,57.0,62.0,12.0
20.0,16.0,18.0,10.0
28.0,21.0,11.0,5.0
74.0,41.0,31.0,8.0
65.0,17.0,12.0,0.0
112.0,35.0,25.0,3.0
3659.0,1665.0,1098.0,385.0
407.0,253.0,124.0,48.0
393.0,80.0,45.0,8.0
219.0,87.0,60.0,28.0
120.0,77.0,42.0,13.0
58.0,21.0,19.0,9.0
83.0,44.0,17.0,3.0
94.0,57.0,35.0,17.0
84.0,45.0,25.0,14.0
68.0,30.0,21.0,3.0
663.0,389.0,283.0,111.0
40.0,31.0,13.0,7.0
22.0,11.0,4.0,0.0
124.0,63.0,46.0,13.0
262.0,176.0,123.0,54.0
70.0,51.0,36.0,18.0
82.0,27.0,31.0,8.0
47.0,10.0,5.0,0.0
50.0,10.0,8.0,0.0
55.0,31.0,28.0,8.0
48.0,46.0,26.0,9.0
3346.0,1881.0,1106.0,434.0
94.0,61.0,34.0,20.0
157.0,101.0,48.0,12.0
241.0,121.0,69.0,31.0
101.0,83.0,33.0,19.0
189.0,75.0,60.0,17.0
175.0,101.0,64.0,21.0
158.0,73.0,77.0,30.0
130.0,70.0,40.0,16.0
199.0,95.0,58.0,24.0
340.0,187.0,123.0,64.0
141.0,101.0,58.0,25.0
148.0,117.0,57.0,26.0
206.0,110.0,52.0,17.0
207.0,111.0,43.0,12.0
195.0,112.0,60.0,25.0
146.0,103.0,55.0,18.0
102.0,60.0,42.0,20.0
109.0,53.0,39.0,13.0
49.0,12.0,18.0,4.0
50.0,23.0,10.0,5.0
11.0,3.0,3.0,0.0
25.0,23.0,6.0,4.0
7.0,3.0,12.0,5.0
78.0,47.0,25.0,4.0
40.0,18.0,9.0,0.0
2518.0,1202.0,664.0,237.0
76.0,37.0,20.0,12.0
242.0,103.0,50.0,21.0
163.0,63.0,67.0,26.0
143.0,70.0,40.0,13.0
266.0,171.0,82.0,34.0
24.0,16.0,8.0,5.0
46.0,30.0,13.0,6.0
123.0,82.0,47.0,20.0
53.0,42.0,17.0,6.0
149.0,105.0,50.0,14.0
82.0,53.0,28.0,9.0
33.0,7.0,8.0,0.0
31.0,10.0,6.0,3.0
42.0,5.0,8.0,3.0
21.0,3.0,4.0,0.0
37.0,4.0,7.0,3.0
39.0,14.0,6.0,4.0
281.0,152.0,80.0,30.0
26.0,25.0,10.0,3.0
65.0,18.0,14.0,3.0
0.0,0.0,0.0,0.0
19.0,8.0,10.0,0.0
2559.0,1009.0,773.0,256.0
79.0,20.0,24.0,6.0
101.0,60.0,23.0,11.0
88.0,31.0,17.0,7.0
43.0,10.0,18.0,9.0
103.0,65.0,24.0,9.0
295.0,150.0,77.0,29.0
55.0,23.0,30.0,11.0
57.0,23.0,25.0,14.0
30.0,15.0,10.0,4.0
22.0,8.0,7.0,3.0
75.0,23.0,34.0,13.0
122.0,58.0,32.0,11.0
57.0,17.0,16.0,4.0
0.0,0.0,0.0,0.0
58.0,27.0,18.0,11.0
56.0,28.0,20.0,10.0
88.0,21.0,19.0,4.0
56.0,14.0,16.0,5.0
19.0,4.0,8.0,3.0
56.0,17.0,12.0,3.0
66.0,31.0,32.0,18.0
34.0,6.0,12.0,4.0
39.0,9.0,18.0,7.0
44.0,10.0,16.0,4.0
28.0,3.0,9.0,6.0
44.0,7.0,16.0,3.0
38.0,12.0,16.0,6.0
27.0,3.0,15.0,4.0
32.0,12.0,14.0,3.0
37.0,13.0,9.0,0.0
32.0,12.0,12.0,4.0
40.0,10.0,12.0,0.0
28.0,13.0,11.0,4.0
38.0,14.0,12.0,4.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3106.0,1513.0,1001.0,333.0
77.0,57.0,28.0,13.0
60.0,24.0,15.0,7.0
123.0,73.0,42.0,13.0
88.0,50.0,25.0,11.0
282.0,113.0,85.0,26.0
136.0,81.0,45.0,27.0
45.0,36.0,11.0,3.0
136.0,50.0,30.0,11.0
51.0,19.0,13.0,6.0
138.0,83.0,36.0,15.0
86.0,26.0,32.0,12.0
86.0,8.0,24.0,3.0
121.0,82.0,42.0,18.0
127.0,63.0,61.0,16.0
88.0,38.0,22.0,3.0
87.0,57.0,26.0,7.0
76.0,63.0,40.0,12.0
42.0,10.0,9.0,3.0
38.0,23.0,16.0,4.0
86.0,40.0,25.0,10.0
88.0,55.0,17.0,3.0
102.0,44.0,23.0,7.0
107.0,37.0,21.0,4.0
106.0,50.0,38.0,11.0
60.0,39.0,20.0,10.0
58.0,43.0,17.0,8.0
39.0,27.0,42.0,12.0
58.0,21.0,21.0,10.0
51.0,31.0,25.0,5.0
20.0,10.0,19.0,8.0
40.0,5.0,23.0,6.0
44.0,26.0,23.0,10.0
39.0,32.0,23.0,10.0
28.0,8.0,8.0,0.0
2025.0,618.0,369.0,142.0
158.0,51.0,41.0,19.0
148.0,62.0,36.0,10.0
18.0,7.0,8.0,3.0
74.0,33.0,10.0,9.0
54.0,22.0,17.0,7.0
158.0,43.0,29.0,11.0
38.0,13.0,7.0,5.0
143.0,35.0,26.0,11.0
11.0,9.0,9.0,7.0
111.0,28.0,15.0,4.0
114.0,31.0,19.0,8.0
118.0,29.0,15.0,7.0
109.0,16.0,22.0,7.0
130.0,51.0,19.0,3.0
98.0,32.0,25.0,5.0
35.0,7.0,10.0,4.0
84.0,18.0,12.0,5.0
39.0,13.0,7.0,7.0
0.0,0.0,0.0,0.0
3447.0,1216.0,980.0,278.0
133.0,66.0,52.0,17.0
88.0,35.0,29.0,6.0
270.0,56.0,49.0,15.0
240.0,136.0,90.0,26.0
96.0,55.0,20.0,8.0
126.0,40.0,37.0,8.0
92.0,35.0,28.0,8.0
50.0,25.0,11.0,6.0
1379.0,386.0,346.0,65.0
135.0,51.0,52.0,17.0
101.0,49.0,25.0,14.0
138.0,78.0,47.0,18.0
72.0,25.0,15.0,9.0
234.0,86.0,63.0,20.0
116.0,42.0,41.0,12.0
57.0,19.0,23.0,5.0
19.0,10.0,7.0,3.0
15.0,4.0,7.0,5.0
2832.0,1077.0,932.0,299.0
224.0,58.0,79.0,17.0
149.0,36.0,63.0,15.0
206.0,33.0,34.0,4.0
102.0,23.0,22.0,6.0
16.0,18.0,11.0,8.0
220.0,74.0,80.0,27.0
184.0,71.0,52.0,9.0
262.0,94.0,71.0,31.0
133.0,44.0,35.0,8.0
68.0,51.0,28.0,15.0
39.0,8.0,21.0,8.0
69.0,22.0,38.0,8.0
78.0,28.0,34.0,11.0
74.0,26.0,31.0,12.0
43.0,25.0,13.0,6.0
109.0,49.0,34.0,13.0
25.0,10.0,9.0,6.0
65.0,30.0,26.0,12.0
111.0,54.0,43.0,8.0
61.0,26.0,19.0,6.0
53.0,17.0,16.0,9.0
91.0,47.0,25.0,6.0
46.0,36.0,21.0,9.0
31.0,30.0,17.0,10.0
49.0,30.0,17.0,6.0
132.0,35.0,35.0,14.0
150.0,87.0,48.0,12.0
0.0,0.0,0.0,0.0
2102.0,939.0,685.0,220.0
107.0,71.0,90.0,32.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
28.0,10.0,3.0,0.0
79.0,64.0,28.0,7.0
20.0,15.0,6.0,0.0
83.0,41.0,27.0,10.0
46.0,19.0,13.0,0.0
3.0,7.0,6.0,4.0
67.0,31.0,14.0,3.0
0.0,0.0,0.0,0.0
200.0,85.0,61.0,27.0
149.0,69.0,37.0,17.0
87.0,33.0,26.0,15.0
37.0,24.0,9.0,6.0
104.0,30.0,31.0,8.0
82.0,26.0,34.0,10.0
14.0,6.0,0.0,0.0
109.0,44.0,41.0,17.0
249.0,107.0,80.0,12.0
69.0,51.0,27.0,13.0
123.0,39.0,47.0,9.0
171.0,71.0,43.0,16.0
9.0,5.0,3.0,0.0
99.0,30.0,33.0,9.0
24.0,14.0,6.0,0.0
18.0,4.0,3.0,0.0
5057.0,1500.0,1308.0,288.0
572.0,255.0,171.0,62.0
490.0,166.0,130.0,35.0
1331.0,412.0,321.0,80.0
42.0,24.0,15.0,7.0
15.0,14.0,9.0,3.0
19.0,6.0,9.0,3.0
290.0,56.0,74.0,7.0
228.0,78.0,50.0,9.0
283.0,75.0,64.0,9.0
206.0,43.0,52.0,10.0
412.0,107.0,109.0,19.0
190.0,30.0,47.0,11.0
347.0,81.0,88.0,7.0
61.0,10.0,13.0,0.0
110.0,20.0,37.0,7.0
79.0,36.0,31.0,5.0
68.0,10.0,21.0,0.0
1019.0,497.0,348.0,129.0
180.0,132.0,69.0,35.0
130.0,70.0,45.0,13.0
157.0,57.0,51.0,16.0
74.0,31.0,30.0,12.0
102.0,55.0,46.0,20.0
60.0,41.0,20.0,5.0
316.0,111.0,87.0,28.0
2211.0,886.0,638.0,236.0
704.0,301.0,222.0,76.0
379.0,93.0,82.0,16.0
146.0,76.0,48.0,25.0
52.0,16.0,11.0,8.0
212.0,113.0,24.0,12.0
10.0,3.0,5.0,4.0
31.0,8.0,3.0,0.0
0.0,0.0,0.0,0.0
349.0,121.0,83.0,25.0
32.0,16.0,13.0,4.0
118.0,43.0,61.0,30.0
